capec592,capec244,ParentOf
capec244,capec588,ChildOf
capec588,capec244,ParentOf
capec245,capec591,ChildOf
capec591,capec245,ParentOf
capec245,capec592,ChildOf
capec592,capec245,ParentOf
capec245,capec588,ChildOf
capec588,capec245,ParentOf
capec247,capec591,ChildOf
capec591,capec247,ParentOf
capec247,capec592,ChildOf
capec592,capec247,ParentOf
capec247,capec588,ChildOf
capec588,capec247,ParentOf
capec250,capec248,ChildOf
capec248,capec250,ParentOf
capec251,capec175,ChildOf
capec175,capec251,ParentOf
capec252,capec251,ChildOf
capec251,capec252,ParentOf
capec253,capec175,ChildOf
capec175,capec253,ParentOf
capec256,capec100,ChildOf
capec100,capec256,ParentOf
capec261,capec54,ChildOf
capec54,capec261,ParentOf
capec263,capec17,ChildOf
capec17,capec263,ParentOf
capec267,capec153,ChildOf
capec153,capec267,ParentOf
capec268,capec161,ChildOf
capec161,capec268,ParentOf
capec27,capec26,ChildOf
capec26,capec27,ParentOf
capec270,capec203,ChildOf
capec203,capec270,ParentOf
capec271,capec176,ChildOf
capec176,capec271,ParentOf
capec273,capec220,ChildOf
capec220,capec273,ParentOf
capec273,capec33,PeerOf
capec33,capec273,PeerOf
capec274,capec220,ChildOf
capec220,capec274,ParentOf
capec275,capec194,ChildOf
capec194,capec275,ParentOf
capec276,capec272,ChildOf
capec272,capec276,ParentOf
capec277,capec272,ChildOf
capec272,capec277,ParentOf
capec278,capec272,ChildOf
capec272,capec278,ParentOf
capec279,capec278,ChildOf
capec278,capec279,ParentOf
capec285,capec292,ChildOf
capec292,capec285,ParentOf
capec287,capec300,ChildOf
capec300,capec287,ParentOf
capec29,capec26,ChildOf
capec26,capec29,ParentOf
capec290,capec309,ChildOf
capec309,capec290,ParentOf
capec291,capec309,ChildOf
capec309,capec291,ParentOf
capec292,capec169,ChildOf
capec169,capec292,ParentOf
capec293,capec309,ChildOf
capec309,capec293,ParentOf
capec294,capec292,ChildOf
capec292,capec294,ParentOf
capec295,capec292,ChildOf
capec292,capec295,ParentOf
capec296,capec292,ChildOf
capec292,capec296,ParentOf
capec297,capec292,ChildOf
capec292,capec297,ParentOf
capec298,capec292,ChildOf
capec292,capec298,ParentOf
capec299,capec292,ChildOf
capec292,capec299,ParentOf
capec3,capec267,ChildOf
capec267,capec3,ParentOf
capec30,capec233,ChildOf
capec233,capec30,ParentOf
capec300,capec169,ChildOf
capec169,capec300,ParentOf
capec301,capec300,ChildOf
capec300,capec301,ParentOf
capec302,capec300,ChildOf
capec300,capec302,ParentOf
capec303,capec300,ChildOf
capec300,capec303,ParentOf
capec304,capec300,ChildOf
capec300,capec304,ParentOf
capec305,capec300,ChildOf
capec300,capec305,ParentOf
capec306,capec300,ChildOf
capec300,capec306,ParentOf
capec307,capec300,ChildOf
capec300,capec307,ParentOf
capec308,capec300,ChildOf
capec300,capec308,ParentOf
capec309,capec169,ChildOf
capec169,capec309,ParentOf
capec31,capec39,ChildOf
capec39,capec31,ParentOf
capec31,capec150,ChildOf
capec150,capec31,ParentOf
capec31,capec157,ChildOf
capec157,capec31,ParentOf
capec310,capec541,ChildOf
capec541,capec310,ParentOf
capec312,capec224,ChildOf
capec224,capec312,ParentOf
capec313,capec224,ChildOf
capec224,capec313,ParentOf
capec317,capec312,ChildOf
capec312,capec317,ParentOf
capec318,capec312,ChildOf
capec312,capec318,ParentOf
capec319,capec312,ChildOf
capec312,capec319,ParentOf
capec32,capec591,ChildOf
capec591,capec32,ParentOf
capec32,capec588,ChildOf
